record_id,citation_key,bibliography_eligible,bibliography_exclusion_reason,verified_citation,doi,doi_status,pmid,pmid_status,publication_type,publication_status,country_setting,database_version,cohort_dates,sample_size,population_eligibility,design,analysis_grain,time_zero_windows,exposure_or_intervention,comparator,outcomes_horizon,statistical_methods,main_estimate_uncertainty,validation,code_data_availability,limitations_risk_of_bias,relevance,access_level,source_urls,verification_notes
"EV-001","macdonald2017sah","yes","","Macdonald RL, Schweizer TA. Spontaneous subarachnoid haemorrhage. Lancet. 2017;389(10069):655-666.","10.1016/S0140-6736(16)30668-7","verified","27637674","verified","Review","Published; indexed for MEDLINE","International clinical review","not applicable","not applicable","not applicable","Patients with spontaneous SAH; aneurysmal cause discussed as approximately 85%","Narrative clinical review","Report-level synthesis","Acute SAH through long-term survivorship","SAH diagnosis and management","not applicable","Mortality, disability, cognition, quality of life","Narrative synthesis","Abstract reports survival improvement over prior decades and persistent cognitive/functional burden; no single pooled estimate","not applicable","Data/code not applicable","Narrative review; predominantly aneurysmal SAH; full text not assessed in this audit","Direct background support for high acuity, mortality/disability, and need for neurocritical care","Abstract and authoritative metadata assessed; publisher full text restricted","https://pubmed.ncbi.nlm.nih.gov/27637674/; https://doi.org/10.1016/S0140-6736(16)30668-7","No PubMed correction/retraction relation found"
"EV-002","hoh2023guideline","yes","","Hoh BL, Ko NU, Amin-Hanjani S, et al. 2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage. Stroke. 2023;54(7):e314-e370.","10.1161/STR.0000000000000436","verified","37212182","verified","Practice guideline and review","Published; indexed for MEDLINE; linked erratum","International guideline with US AHA/ASA sponsorship","not applicable","Evidence search principally 2012-November 2022","not applicable","Patients with aneurysmal SAH","Evidence-based guideline","Recommendation/report level","Prevention through acute management and follow-up","Diagnostic and management strategies","Usual care or alternatives by recommendation","Patient-centered clinical outcomes","Structured guideline evidence review","Recommendation-specific estimates not extracted in this targeted audit","Guideline evidence process","Full guideline available through journal; no analytic code","Focused on aneurysmal rather than all non-traumatic SAH; full recommendation tables not extracted","Authoritative SAH clinical context and scale/management framing","Abstract and authoritative metadata assessed","https://pubmed.ncbi.nlm.nih.gov/37212182/; https://doi.org/10.1161/STR.0000000000000436","Erratum linked as PMID 38011240; no retraction"
"EV-003","chai2023inflammation","yes","","Chai CZ, Ho UC, Kuo LT. Systemic Inflammation after Aneurysmal Subarachnoid Hemorrhage. Int J Mol Sci. 2023;24(13):10943.","10.3390/ijms241310943","verified","37446118","verified","Review","Published; indexed for MEDLINE","International literature; authors based in Taiwan","not applicable","not applicable","not applicable","Patients with aneurysmal SAH","Narrative mechanistic review","Report-level synthesis","Acute post-hemorrhage period","Systemic inflammatory response and biomarkers","not applicable","Intracranial/extracranial injury and clinical outcomes","Narrative synthesis","Abstract states systemic inflammation may mediate tissue damage and biomarkers may predict outcomes; no pooled estimate","not applicable","Open-access article; data/code not applicable","Mechanistic and prognostic evidence heterogeneous; does not by itself cover every listed organ complication","Direct support for systemic inflammation; partial support for neuro-systemic interaction","Open access; abstract used for extraction","https://pubmed.ncbi.nlm.nih.gov/37446118/; https://doi.org/10.3390/ijms241310943","No PubMed correction/retraction relation found"
"EV-004","naidech2007hemoglobin","yes","","Naidech AM, Jovanovic B, Wartenberg KE, et al. Higher hemoglobin is associated with improved outcome after subarachnoid hemorrhage. Crit Care Med. 2007;35(10):2383-2389.","10.1097/01.CCM.0000284516.17580.2C","verified","17717494","verified","Prospective registry observational study","Published; indexed for MEDLINE","Single neurological ICU, Columbia University, USA","Columbia University SAH Outcomes Project","August 1996-June 2002","611","Consecutively admitted SAH patients","Prospective registry with automated laboratory retrieval","Patient/admission","Hospital course; outcomes at discharge/14 days and 3 months","Mean and nadir hemoglobin; transfusion context","Higher versus lower observed hemoglobin","Modified Rankin Scale and mortality through 3 months","Adjusted regression including Hunt-Hess grade, age, diabetes, and cerebral infarction","Higher hemoglobin associated with lower adjusted risk of poor outcome; abstract gives group means and p<0.001 but not adjusted effect CI","No external validation","Data/code not reported in abstract","Observational association, time-varying treatment/confounding, single center; cannot infer transfusion benefit","Direct evidence that anemia/hemoglobin tracks outcome; not causal evidence for thresholds","Abstract and authoritative metadata assessed; full text restricted","https://pubmed.ncbi.nlm.nih.gov/17717494/; https://doi.org/10.1097/01.CCM.0000284516.17580.2C","Verified related record; not assumed to repair conflicting legacy reference 5"
"EV-005","rosenberg2013anemia","yes","","Rosenberg NF, Koht A, Naidech AM. Anemia and transfusion after aneurysmal subarachnoid hemorrhage. J Neurosurg Anesthesiol. 2013;25(1):66-74.","10.1097/ANA.0b013e31826cfc1d","verified","23047622","verified","Review","Published; indexed for MEDLINE","Clinical literature review","not applicable","not applicable","not applicable","Patients with aneurysmal SAH","Narrative review","Report-level synthesis","Weeks after hemorrhage","Anemia and red-cell transfusion","Different hemoglobin/transfusion approaches","Physiological markers and clinical outcomes","Narrative synthesis","Abstract reports anemia associated with poor outcomes, while transfusion evidence is inconsistent and mostly observational; no pooled estimate","not applicable","Data/code not applicable","Predominantly observational source evidence; review predates the large SAHARA trial","Balanced contextual evidence on anemia as severity marker and uncertainty of transfusion benefit","Abstract and authoritative metadata assessed; full text restricted","https://pubmed.ncbi.nlm.nih.gov/23047622/; https://doi.org/10.1097/ANA.0b013e31826cfc1d","No PubMed correction/retraction relation found"
"EV-006","naidech2010hemoglobingoal","yes","","Naidech AM, Shaibani A, Garg RK, et al. Prospective, randomized trial of higher goal hemoglobin after subarachnoid hemorrhage. Neurocrit Care. 2010;13(3):313-320.","10.1007/s12028-010-9424-4","verified","20717750","verified","Randomized controlled pilot trial","Published; indexed for MEDLINE","Single-center neurocritical care setting, USA","not applicable","not reported in abstract","44","SAH patients at high risk for vasospasm","Prospective randomized pilot trial","Patient","Randomization during acute SAH; outcomes at 14 days, 28 days, and 3 months","Hemoglobin goal at least 11.5 g/dL","Hemoglobin goal at least 10 g/dL","Safety, MRI infarction, NIHSS, modified Rankin Scale","Between-group comparisons; blinded outcome and MRI assessment","Clinical outcomes similar and favored higher goal, all p>0.1; 44 patients","Pilot only; no external validation","Trial registry mentioned; data/code not reported","Small feasibility trial underpowered for clinical efficacy","Historical randomized feasibility evidence; does not establish a clinical threshold","Abstract and authoritative metadata assessed; full text restricted","https://pubmed.ncbi.nlm.nih.gov/20717750/; https://doi.org/10.1007/s12028-010-9424-4","No PubMed correction/retraction relation found"
"EV-007","english2025sahara","yes","","English SW, Delaney A, Fergusson DA, et al. Liberal or Restrictive Transfusion Strategy in Aneurysmal Subarachnoid Hemorrhage. N Engl J Med. 2025;392(11):1079-1088.","10.1056/NEJMoa2410962","verified","39655786","verified","Multicenter pragmatic randomized trial","Published online 2024-12-09; print 2025; indexed for MEDLINE","23 centers; international critical-care trial","SAHARA trial","not reported in abstract","742 randomized; 725 in primary-outcome analysis","Critically ill adults with acute aneurysmal SAH and anemia","Pragmatic randomized comparative trial","Patient","Acute critical-care transfusion period; primary outcome at 12 months","Mandatory transfusion when hemoglobin <=10 g/dL","Optional transfusion when hemoglobin <=8 g/dL","Unfavorable neurological outcome, function, quality of life, adverse events at 12 months","Risk ratio and mean differences with 95% CI","Unfavorable outcome 33.5% vs 37.7%; RR 0.88, 95% CI 0.72-1.09; P=0.22","Multicenter randomized design","Trial record/data availability not extracted from abstract","Confidence interval includes benefit and no benefit; applies to aneurysmal SAH patients with anemia","Direct support for no clear statistically significant long-term neurological benefit from liberal strategy","Abstract and authoritative metadata assessed; publisher full text restricted","https://pubmed.ncbi.nlm.nih.gov/39655786/; https://doi.org/10.1056/NEJMoa2410962","Legacy year 2024 reflects online publication but not authoritative print citation; no retraction"
"EV-008","seymour2019sepsisphenotypes","yes","","Seymour CW, Kennedy JN, Wang S, et al. Derivation, Validation, and Potential Treatment Implications of Novel Clinical Phenotypes for Sepsis. JAMA. 2019;321(20):2003-2017.","10.1001/jama.2019.5791","verified","31104070","verified","Retrospective derivation and multi-cohort validation study","Published; indexed for MEDLINE","12 Pennsylvania hospitals plus prospective and trial cohorts","Multiple hospital EHR cohorts and 3 sepsis RCTs","2010-2014 for principal EHR cohorts","20,189 derivation encounters; 43,086 validation encounters; additional 583 prospective and 4,737 RCT participants","Adults meeting Sepsis-3 within 6 hours of hospital presentation","Consensus K-means phenotyping with validation and RCT simulation","Encounter/patient","Within 6 hours of hospital presentation; mortality at 28 and 365 days","Four data-derived sepsis phenotypes from 29 variables","Phenotype classes","Biomarkers, treatment patterns, 28-day and 365-day mortality, simulated RCT effects","Consensus K-means, validation, biomarker analyses, simulations","Four phenotypes showed distinct organ patterns and outcome distributions; detailed estimates are report-specific","Second EHR database, prospective cohort, and 3 RCT datasets","Code/data availability not extracted in this audit","Sepsis, not neurocritical care; treatment association/simulation is not randomized phenotype-guided evidence","Direct methodological example that unsupervised phenotyping can yield reproducible clinically distinct sepsis/critical-illness subgroups","Abstract and authoritative metadata assessed; publisher full text restricted","https://pubmed.ncbi.nlm.nih.gov/31104070/; https://doi.org/10.1001/jama.2019.5791","No correction/retraction linked in PubMed; commentaries present"
"EV-009","calfee2014ardssubphenotypes","yes","","Calfee CS, Delucchi K, Parsons PE, et al. Subphenotypes in acute respiratory distress syndrome: latent class analysis of data from two randomised controlled trials. Lancet Respir Med. 2014;2(8):611-620.","10.1016/S2213-2600(14)70097-9","verified","24853585","verified","Secondary analysis of two randomized trials","Published; indexed for MEDLINE","Multicenter NHLBI ARDS Network trials, USA","ARMA and ALVEOLI trial datasets","not reported in abstract","1,022; 473 ARMA and 549 ALVEOLI","Patients enrolled in two ARDS randomized trials","Latent class analysis performed independently in two cohorts","Patient","Trial baseline clinical/biological data; subsequent hospital outcomes","Latent ARDS subphenotype","Two inferred classes; treatment interaction in ALVEOLI","Mortality, ventilator-free days, organ-failure-free days","Independent latent-class models and treatment-by-phenotype interaction tests","Two-class solution in both cohorts; phenotype 2 had worse outcomes; interaction p=0.049 for mortality in ALVEOLI","Independent replication across two trial cohorts","Underlying trial data access/code not extracted","Secondary phenotype analysis; ARDS rather than SAH; interaction evidence is exploratory","Representative ARDS phenotyping and trial-enrichment rationale","Abstract and authoritative metadata assessed; full text restricted","https://pubmed.ncbi.nlm.nih.gov/24853585/; https://doi.org/10.1016/S2213-2600(14)70097-9","No correction/retraction relation found"
"EV-010","johnson2023mimiciv","yes","","Johnson AEW, Bulgarelli L, Shen L, et al. MIMIC-IV, a freely accessible electronic health record dataset. Sci Data. 2023;10(1):1.","10.1038/s41597-022-01899-x","verified","36596836","verified","Data descriptor","Published; indexed for MEDLINE; two linked corrections","Beth Israel Deaconess Medical Center, Boston, USA","Paper describes MIMIC-IV generally; not specific to v3.1","not reported in abstract","not reported in abstract","Deidentified hospital and ICU encounters in MIMIC-IV","Database/data descriptor","Encounter, admission, ICU stay, event","Routine clinical care","Electronic health record data resource","not applicable","Research data availability and content","Descriptive database construction","No clinical effect estimate","not applicable","Credentialed public research access; code/documentation available through PhysioNet","Paper predates v3.1 and cannot alone establish exact v3.1 contents","Authoritative peer-reviewed MIMIC-IV provenance; exact version requires EV-013","Abstract and authoritative metadata assessed; article open access","https://pubmed.ncbi.nlm.nih.gov/36596836/; https://doi.org/10.1038/s41597-022-01899-x","Corrections linked: PMID 36646711 and 37072428; no retraction"
