claim_id,section,english_claim,chinese_claim,legacy_reference_number,evidence_needed,status,notes
"CLM-001","Introduction","Non-traumatic subarachnoid hemorrhage is a high-acuity neurological emergency associated with substantial mortality and long-term disability.","非创伤性蛛网膜下腔出血是一类高急症神经系统疾病，具有较高死亡率和长期致残风险。","1","Authoritative epidemiology or clinical review documenting mortality and long-term disability after non-traumatic SAH.","legacy_candidate","Legacy reference 1 is a title-level candidate only; verify bibliographic identity and direct support before citation assignment."
"CLM-002","Introduction","Clinical risk assessment in NSAH commonly relies on neurological scales including Hunt-Hess, WFNS, and GCS.","NSAH 临床风险评估通常依赖 Hunt-Hess、WFNS 和 GCS 等神经量表。","3;4","Original or authoritative sources defining the three neurological scales and documenting their use for SAH risk assessment.","legacy_candidate","Legacy references 3 and 4 appear relevant to Hunt-Hess and GCS; there is no obvious legacy WFNS source. Verify identities and add WFNS evidence if the combined claim is retained."
"CLM-003","Introduction","Neurological scales do not fully describe the systemic physiological response after acute subarachnoid hemorrhage.","神经量表难以完整反映急性蛛网膜下腔出血后的全身生理反应。","","Evidence comparing neurological scales with extracerebral or multisystem manifestations after SAH.","missing_evidence","No legacy reference clearly supports the limitation as phrased."
"CLM-004","Introduction","Early NSAH may be followed by sympathetic activation, systemic inflammation, cardiopulmonary dysfunction, renal hypoperfusion, anemia, and coagulation abnormalities.","NSAH 早期可伴随交感神经激活、全身炎症、心肺功能障碍、肾脏低灌注、贫血和凝血异常。","1;5;10","A review or primary studies supporting each listed extracerebral manifestation in non-traumatic SAH.","legacy_candidate","Legacy references 1, 5, and 10 are possible partial candidates based on titles; verify identities and claim-level coverage, especially renal hypoperfusion and coagulation abnormalities."
"CLM-005","Introduction","Extracerebral disturbances may interact with primary brain injury and contribute to outcome heterogeneity after NSAH.","脑外器官紊乱可能与原发脑损伤相互作用，并造成 NSAH 预后异质性。","1;10","Mechanistic or clinical evidence linking systemic disturbances, brain injury, and heterogeneous outcomes after SAH.","legacy_candidate","Legacy references 1 and 10 are candidate background sources only; verify direct support and the incomplete legacy reference 10 identity."
"CLM-006","Introduction","APACHE and SOFA summarize general critical illness severity but were not designed to identify NSAH-specific neuro-systemic patterns.","APACHE 和 SOFA 可概括一般危重病严重程度，但并非为识别 NSAH 特异性神经-全身模式而设计。","11;12","Original score-development sources establishing the intended scope of APACHE and SOFA.","legacy_candidate","Legacy references 11 and 12 are title-level candidates; verify the versions of APACHE used in the manuscript and eICU."
"CLM-007","Introduction","Unsupervised phenotyping can identify clinically meaningful subgroups within heterogeneous critical illness syndromes.","无监督表型分析可在异质性危重病综合征中识别具有临床意义的亚组。","2","Validated critical-care phenotyping study demonstrating clinically meaningful unsupervised subgroups.","legacy_candidate","Legacy reference 2 is a likely sepsis example but must be identity- and claim-verified."
"CLM-008","Introduction","Unsupervised phenotyping has been used in sepsis and acute respiratory distress syndrome but less often in neurocritical care.","无监督表型分析已用于脓毒症和急性呼吸窘迫综合征，但在神经重症中的应用相对有限。","2","Representative sepsis and ARDS phenotyping studies plus evidence supporting the comparative scarcity in neurocritical care.","missing_evidence","Legacy reference 2 may support only the sepsis component; no obvious legacy ARDS source or evidence for the comparative-frequency claim."
"CLM-009","Methods - Study design and data sources","MIMIC-IV 3.1 and eICU-CRD 2.0 are de-identified ICU research databases suitable for derivation and external validation cohorts.","MIMIC-IV 3.1 与 eICU-CRD 2.0 是可用于开发队列和外部验证队列的去标识化 ICU 研究数据库。","6;7;8","Authoritative database descriptions documenting version, setting, de-identification, and access model.","legacy_candidate","Legacy references 6-8 are candidate database or PhysioNet sources; verify exact version support because the listed publications may predate the manuscript database versions."
"CLM-010","Methods - Study design and data sources","Database access follows required training and data-use agreements, and consent is waived under source-database governance for de-identified data.","数据库访问需完成培训和数据使用要求，去标识化数据的知情同意在源数据库治理框架下豁免。","6;7;8","Current official MIMIC-IV, eICU, and PhysioNet access/governance documentation, plus institution-specific ethics determination where required.","missing_evidence","Legacy database papers may be partial candidates, but governance and waiver language should be checked against current official terms and local ethics review."
