record_id,citation_key,entry_type,title,year,doi,pmid,identity_status,verification_id,bibliography_eligible,metadata_source
EV-001,macdonald2017sah,article,Spontaneous subarachnoid haemorrhage,2017,10.1016/S0140-6736(16)30668-7,27637674,verified,RET-001,yes,verified evidence table + citation verification
EV-002,hoh2023guideline,article,2023 Guideline for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage,2023,10.1161/STR.0000000000000436,37212182,verified,RET-002,yes,verified evidence table + citation verification
EV-003,chai2023inflammation,article,Systemic Inflammation after Aneurysmal Subarachnoid Hemorrhage,2023,10.3390/ijms241310943,37446118,verified,RET-003,yes,verified evidence table + citation verification
EV-004,naidech2007hemoglobin,article,Higher hemoglobin is associated with improved outcome after subarachnoid hemorrhage,2007,10.1097/01.CCM.0000284516.17580.2C,17717494,verified,RET-004,yes,verified evidence table + citation verification
EV-005,rosenberg2013anemia,article,Anemia and transfusion after aneurysmal subarachnoid hemorrhage,2013,10.1097/ANA.0b013e31826cfc1d,23047622,verified,RET-005,yes,verified evidence table + citation verification
EV-006,naidech2010hemoglobingoal,article,"Prospective, randomized trial of higher goal hemoglobin after subarachnoid hemorrhage",2010,10.1007/s12028-010-9424-4,20717750,verified,RET-006,yes,verified evidence table + citation verification
EV-007,english2025sahara,article,Liberal or Restrictive Transfusion Strategy in Aneurysmal Subarachnoid Hemorrhage,2025,10.1056/NEJMoa2410962,39655786,verified,RET-007,yes,verified evidence table + citation verification
EV-008,seymour2019sepsisphenotypes,article,"Derivation, Validation, and Potential Treatment Implications of Novel Clinical Phenotypes for Sepsis",2019,10.1001/jama.2019.5791,31104070,verified,RET-008,yes,verified evidence table + citation verification
EV-009,calfee2014ardssubphenotypes,article,Subphenotypes in acute respiratory distress syndrome: latent class analysis of data from two randomised controlled trials,2014,10.1016/S2213-2600(14)70097-9,24853585,verified,RET-009,yes,verified evidence table + citation verification
EV-010,johnson2023mimiciv,article,"MIMIC-IV, a freely accessible electronic health record dataset",2023,10.1038/s41597-022-01899-x,36596836,verified,RET-010,yes,verified evidence table + citation verification
EV-011,pollard2018eicu,article,"The eICU Collaborative Research Database, a freely available multi-center database for critical care research",2018,10.1038/sdata.2018.178,30204154,verified,RET-011,yes,verified evidence table + citation verification
EV-012,goldberger2000physionet,article,"PhysioBank, PhysioToolkit, and PhysioNet",2000,10.1161/01.cir.101.23.e215,10851218,verified,RET-012,yes,verified evidence table + citation verification
EV-013,johnson2024mimiciv31,article,MIMIC-IV (version 3.1),2024,10.13026/kpb9-mt58,,verified,RET-013,yes,verified evidence table + citation verification
EV-014,pollard2019eicu20,article,eICU Collaborative Research Database (version 2.0),2019,10.13026/C2WM1R,,verified,RET-014,yes,verified evidence table + citation verification
EV-015,hunt1968surgicalrisk,article,Surgical risk as related to time of intervention in the repair of intracranial aneurysms,1968,10.3171/jns.1968.28.1.0014,5635959,verified,RET-015,yes,verified evidence table + citation verification
EV-016,teasdale1974gcs,article,Assessment of coma and impaired consciousness. A practical scale,1974,10.1016/S0140-6736(74)91639-0,4136544,verified,RET-016,yes,verified evidence table + citation verification
EV-017,teasdale1988wfns,article,Report of World Federation of Neurological Surgeons Committee on a Universal Subarachnoid Hemorrhage Grading Scale,1988,10.3171/jns.1988.68.6.0985,3131498,verified,RET-017,yes,verified evidence table + citation verification
EV-018,knaus1985apacheii,article,APACHE II: a severity of disease classification system,1985,,3928249,verified,RET-018,yes,verified evidence table + citation verification
EV-019,zimmerman2006apacheiv,article,Acute Physiology and Chronic Health Evaluation (APACHE) IV,2006,10.1097/01.CCM.0000215112.84523.F0,16540951,verified,RET-019,yes,verified evidence table + citation verification
EV-020,vincent1996sofa,article,The SOFA score to describe organ dysfunction/failure,1996,10.1007/BF01709751,8844239,verified,RET-020,yes,verified evidence table + citation verification
EV-021,vonelm2007strobe,article,The STROBE statement: guidelines for reporting observational studies,2007,10.1016/S0140-6736(07)61602-X,18064739,verified,RET-021,yes,verified evidence table + citation verification
EV-022,benchimol2015record,article,The RECORD statement,2015,10.1371/journal.pmed.1001885,26440803,verified,RET-022,yes,verified evidence table + citation verification
